nom,region,departement,email,groupe,circonscription
Mme Anchya Bamana,Mayotte,Mayotte,anchya.bamana@assemblee-nationale.fr,Rassemblement National,Mayotte (2e circonscription)
Mme Estelle Youssouffa,Mayotte,Mayotte,estelle.youssouffa@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Mayotte (1re circonscription)
M. Arthur Delaporte,Normandie,Calvados,arthur.delaporte@assemblee-nationale.fr,Socialistes et apparentés,Calvados (2e circonscription)
M. Bertrand Bouyx,Normandie,Calvados,Bertrand.Bouyx@assemblee-nationale.fr,Horizons & Indépendants,Calvados (5e circonscription)
M. Bertrand Sorre,Normandie,Manche,Bertrand.Sorre@assemblee-nationale.fr,Ensemble pour la République,Manche (2e circonscription)
M. Christophe Blanchet,Normandie,Calvados,Christophe.Blanchet@assemblee-nationale.fr,Les Démocrates,Calvados (4e circonscription)
M. Gérard Leseul,Normandie,Seine-Maritime,gerard.leseul@assemblee-nationale.fr,Socialistes et apparentés,Seine-Maritime (5e circonscription)
M. Jean-Paul Lecoq,Normandie,Seine-Maritime,Jean-Paul.Lecoq@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Seine-Maritime (8e circonscription)
M. Joël Bruneau,Normandie,Calvados,joel.bruneau@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Calvados (1re circonscription)
M. Jérémie Patrier-Leitus,Normandie,Calvados,jeremie.patrier-leitus@assemblee-nationale.fr,Horizons & Indépendants,Calvados (3e circonscription)
M. Kévin Mauvieux,Normandie,Eure,kevin.mauvieux@assemblee-nationale.fr,Rassemblement National,Eure (3e circonscription)
M. Patrice Martin,Normandie,Seine-Maritime,patrice.martin@assemblee-nationale.fr,Rassemblement National,Seine-Maritime (6e circonscription)
M. Philippe Brun,Normandie,Eure,philippe.brun@assemblee-nationale.fr,Socialistes et apparentés,Eure (4e circonscription)
M. Philippe Gosselin,Normandie,Manche,philippe.gosselin@assemblee-nationale.fr,Droite Républicaine,Manche (1re circonscription)
M. Robert Le Bourgeois,Normandie,Seine-Maritime,robert.lebourgeois@assemblee-nationale.fr,Rassemblement National,Seine-Maritime (10e circonscription)
M. Stéphane Travert,Normandie,Manche,Stephane.Travert@assemblee-nationale.fr,Ensemble pour la République,Manche (3e circonscription)
M. Thierry Liger,Normandie,Orne,thierry.liger@assemblee-nationale.fr,Droite Républicaine,Orne (2e circonscription)
M. Timothée Houssin,Normandie,Eure,timothee.houssin@assemblee-nationale.fr,Rassemblement National,Eure (5e circonscription)
M. Édouard Bénard,Normandie,Seine-Maritime,edouard.benard@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Seine-Maritime (3e circonscription)
Mme Agnès Firmin Le Bodo,Normandie,Seine-Maritime,Agnes.FirminLeBodo@assemblee-nationale.fr,Horizons & Indépendants,Seine-Maritime (7e circonscription)
Mme Alma Dufour,Normandie,Seine-Maritime,alma.dufour@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Seine-Maritime (4e circonscription)
Mme Anna Pic,Normandie,Manche,anna.pic@assemblee-nationale.fr,Socialistes et apparentés,Manche (4e circonscription)
Mme Annie Vidal,Normandie,Seine-Maritime,Annie.Vidal@assemblee-nationale.fr,Ensemble pour la République,Seine-Maritime (2e circonscription)
Mme Cendrine Chazé,Normandie,Orne,cendrine.chaze@assemblee-nationale.fr,Droite Républicaine,Orne (3e circonscription)
Mme Chantal Jourdan,Normandie,Orne,chantal.jourdan@assemblee-nationale.fr,Socialistes et apparentés,Orne (1re circonscription)
Mme Christine Loir,Normandie,Eure,christine.loir@assemblee-nationale.fr,Rassemblement National,Eure (1re circonscription)
Mme Florence Herouin-Léautey,Normandie,Seine-Maritime,florence.herouin-leautey@assemblee-nationale.fr,Socialistes et apparentés,Seine-Maritime (1re circonscription)
Mme Katiana Levavasseur,Normandie,Eure,katiana.levavasseur@assemblee-nationale.fr,Rassemblement National,Eure (2e circonscription)
Mme Marie-Agnès Poussier-Winsback,Normandie,Seine-Maritime,marieagnes.poussier-winsback@assemblee-nationale.fr,Horizons & Indépendants,Seine-Maritime (9e circonscription)
Mme Élisabeth Borne,Normandie,Calvados,elisabeth.borne@assemblee-nationale.fr,Ensemble pour la République,Calvados (6e circonscription)
M. Alain David,Nouvelle-Aquitaine,Gironde,Alain.David@assemblee-nationale.fr,Socialistes et apparentés,Gironde (4e circonscription)
M. Bartolomé Lenoir,Nouvelle-Aquitaine,Creuse,bartolome.lenoir@assemblee-nationale.fr,Union des droites pour la République,Creuse (1re circonscription)
M. Bastien Marchive,Nouvelle-Aquitaine,Deux-Sèvres,bastien.marchive@assemblee-nationale.fr,Ensemble pour la République,Deux-Sèvres (1re circonscription)
M. Benoît Biteau,Nouvelle-Aquitaine,Charente-Maritime,benoit.biteau@assemblee-nationale.fr,Écologiste et Social,Charente-Maritime (2e circonscription)
M. Boris Vallaud,Nouvelle-Aquitaine,Landes,Boris.Vallaud@assemblee-nationale.fr,Socialistes et apparentés,Landes (3e circonscription)
M. Christophe Plassard,Nouvelle-Aquitaine,Charente-Maritime,christophe.plassard@assemblee-nationale.fr,Horizons & Indépendants,Charente-Maritime (5e circonscription)
M. Damien Maudet,Nouvelle-Aquitaine,Haute-Vienne,damien.maudet@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Vienne (1re circonscription)
M. David Habib,Nouvelle-Aquitaine,Pyrénées-Atlantiques,David.Habib@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Pyrénées-Atlantiques (3e circonscription)
M. Fabrice Barusseau,Nouvelle-Aquitaine,Charente-Maritime,fabrice.barusseau@assemblee-nationale.fr,Socialistes et apparentés,Charente-Maritime (3e circonscription)
M. François Hollande,Nouvelle-Aquitaine,Corrèze,francois.hollande@assemblee-nationale.fr,Socialistes et apparentés,Corrèze (1re circonscription)
M. Iñaki Echaniz,Nouvelle-Aquitaine,Pyrénées-Atlantiques,inaki.echaniz@assemblee-nationale.fr,Socialistes et apparentés,Pyrénées-Atlantiques (4e circonscription)
M. Jean-Marie Fiévet,Nouvelle-Aquitaine,Deux-Sèvres,Jean-Marie.Fievet@assemblee-nationale.fr,Ensemble pour la République,Deux-Sèvres (3e circonscription)
M. Jean-Paul Mattei,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Jean-Paul.Mattei@assemblee-nationale.fr,Les Démocrates,Pyrénées-Atlantiques (2e circonscription)
M. Lionel Causse,Nouvelle-Aquitaine,Landes,Lionel.Causse@assemblee-nationale.fr,Ensemble pour la République,Landes (2e circonscription)
M. Loïc Prud'homme,Nouvelle-Aquitaine,Gironde,Loic.Prudhomme@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Gironde (3e circonscription)
M. Michel Lauzzana,Nouvelle-Aquitaine,Lot-et-Garonne,Michel.Lauzzana@assemblee-nationale.fr,Ensemble pour la République,Lot-et-Garonne (1re circonscription)
M. Nicolas Thierry,Nouvelle-Aquitaine,Gironde,nicolas.thierry@assemblee-nationale.fr,Écologiste et Social,Gironde (2e circonscription)
M. Nicolas Turquois,Nouvelle-Aquitaine,Vienne,Nicolas.Turquois@assemblee-nationale.fr,Les Démocrates,Vienne (4e circonscription)
M. Pascal Lecamp,Nouvelle-Aquitaine,Vienne,pascal.lecamp@assemblee-nationale.fr,Les Démocrates,Vienne (3e circonscription)
M. Pascal Markowsky,Nouvelle-Aquitaine,Charente-Maritime,pascal.markowsky@assemblee-nationale.fr,Rassemblement National,Charente-Maritime (4e circonscription)
M. Peio Dufau,Nouvelle-Aquitaine,Pyrénées-Atlantiques,peio.dufau@assemblee-nationale.fr,Socialistes et apparentés,Pyrénées-Atlantiques (6e circonscription)
M. René Pilato,Nouvelle-Aquitaine,Charente,rene.pilato@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Charente (1re circonscription)
M. Sacha Houlié,Nouvelle-Aquitaine,Vienne,Sacha.Houlie@assemblee-nationale.fr,Socialistes et apparentés,Vienne (2e circonscription)
M. Serge Muller,Nouvelle-Aquitaine,Dordogne,serge.muller@assemblee-nationale.fr,Rassemblement National,Dordogne (2e circonscription)
M. Stéphane Delautrette,Nouvelle-Aquitaine,Haute-Vienne,stephane.delautrette@assemblee-nationale.fr,Socialistes et apparentés,Haute-Vienne (2e circonscription)
M. Sébastien Peytavie,Nouvelle-Aquitaine,Dordogne,sebastien.peytavie@assemblee-nationale.fr,Écologiste et Social,Dordogne (4e circonscription)
M. Sébastien Saint-Pasteur,Nouvelle-Aquitaine,Gironde,sebastien.saint-pasteur@assemblee-nationale.fr,Socialistes et apparentés,Gironde (7e circonscription)
Mme Alexandra Martin (Gironde),Nouvelle-Aquitaine,Gironde,alexandra.martin.gironde@assemblee-nationale.fr,Ensemble pour la République,Gironde (1re circonscription)
Mme Caroline Colombier,Nouvelle-Aquitaine,Charente,caroline.colombier@assemblee-nationale.fr,Rassemblement National,Charente (3e circonscription)
Mme Colette Capdevielle,Nouvelle-Aquitaine,Pyrénées-Atlantiques,colette.capdevielle@assemblee-nationale.fr,Socialistes et apparentés,Pyrénées-Atlantiques (5e circonscription)
Mme Delphine Batho,Nouvelle-Aquitaine,Deux-Sèvres,Delphine.Batho@assemblee-nationale.fr,Écologiste et Social,Deux-Sèvres (2e circonscription)
Mme Edwige Diaz,Nouvelle-Aquitaine,Gironde,edwige.diaz@assemblee-nationale.fr,Rassemblement National,Gironde (11e circonscription)
Mme Emeline Rey-Rinchet,Nouvelle-Aquitaine,Lot-et-Garonne,emeline.rey@assemblee-nationale.fr,Droite Républicaine,Lot-et-Garonne (3e circonscription)
Mme Florence Joubert,Nouvelle-Aquitaine,Dordogne,florence.joubert@assemblee-nationale.fr,Rassemblement National,Dordogne (3e circonscription)
Mme Frédérique Meunier,Nouvelle-Aquitaine,Corrèze,Frederique.Meunier@assemblee-nationale.fr,Droite Républicaine,Corrèze (2e circonscription)
Mme Geneviève Darrieussecq,Nouvelle-Aquitaine,Landes,genevieve.darrieussecq@assemblee-nationale.fr,Les Démocrates,Landes (1re circonscription)
Mme Hélène Laporte,Nouvelle-Aquitaine,Lot-et-Garonne,helene.laporte@assemblee-nationale.fr,Rassemblement National,Lot-et-Garonne (2e circonscription)
Mme Josy Poueyto,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Josy.Poueyto@assemblee-nationale.fr,Les Démocrates,Pyrénées-Atlantiques (1re circonscription)
Mme Lisa Belluco,Nouvelle-Aquitaine,Vienne,lisa.belluco@assemblee-nationale.fr,Écologiste et Social,Vienne (1re circonscription)
Mme Manon Meunier,Nouvelle-Aquitaine,Haute-Vienne,manon.meunier@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Vienne (3e circonscription)
Mme Marie Récalde,Nouvelle-Aquitaine,Gironde,marie.recalde@assemblee-nationale.fr,Socialistes et apparentés,Gironde (6e circonscription)
Mme Marie-Sophie Bernadeau,Nouvelle-Aquitaine,Gironde,marie-sophie.bernadeau@assemblee-nationale.fr,Ensemble pour la République,Gironde (10e circonscription)
Mme Mathilde Feld,Nouvelle-Aquitaine,Gironde,mathilde.feld@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Gironde (12e circonscription)
Mme Nadine Lechon,Nouvelle-Aquitaine,Dordogne,nadine.lechon@assemblee-nationale.fr,Rassemblement National,Dordogne (1re circonscription)
Mme Pascale Got,Nouvelle-Aquitaine,Gironde,pascale.got@assemblee-nationale.fr,Socialistes et apparentés,Gironde (5e circonscription)
Mme Sabine Gervais,Nouvelle-Aquitaine,Charente-Maritime,sabine.gervais@assemblee-nationale.fr,Les Démocrates,Charente-Maritime (1re circonscription)
Mme Sandra Marsaud,Nouvelle-Aquitaine,Charente,Sandra.Marsaud@assemblee-nationale.fr,Ensemble pour la République,Charente (2e circonscription)
Mme Sophie Mette,Nouvelle-Aquitaine,Gironde,Sophie.Mette@assemblee-nationale.fr,Les Démocrates,Gironde (9e circonscription)
Mme Sophie Panonacle,Nouvelle-Aquitaine,Gironde,Sophie.Panonacle@assemblee-nationale.fr,Ensemble pour la République,Gironde (8e circonscription)
M. Emmanuel Tjibaou,Nouvelle-Calédonie,Nouvelle-Calédonie,emmanuel.tjibaou@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Nouvelle-Calédonie (2e circonscription)
M. Nicolas Metzdorf,Nouvelle-Calédonie,Nouvelle-Calédonie,nicolas.metzdorf@assemblee-nationale.fr,Ensemble pour la République,Nouvelle-Calédonie (1re circonscription)
M. Alexandre Allegret-Pilot,Occitanie,Gard,alexandre.allegret-pilot@assemblee-nationale.fr,Union des droites pour la République,Gard (5e circonscription)
M. Arnaud Simion,Occitanie,Haute-Garonne,arnaud.simion@assemblee-nationale.fr,Socialistes et apparentés,Haute-Garonne (6e circonscription)
M. Aurélien Pradié,Occitanie,Lot,Aurelien.Pradie@assemblee-nationale.fr,Non inscrit,Lot (1re circonscription)
M. Bernard Chaumeil,Occitanie,Hérault,bernard.chaumeil@assemblee-nationale.fr,Rassemblement National,Hérault (7e circonscription)
M. Charles Alloncle,Occitanie,Hérault,charles.alloncle@assemblee-nationale.fr,Union des droites pour la République,Hérault (9e circonscription)
M. Christophe Bex,Occitanie,Haute-Garonne,christophe.bex@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Garonne (7e circonscription)
M. Christophe Proença,Occitanie,Lot,christophe.proenca@assemblee-nationale.fr,Socialistes et apparentés,Lot (2e circonscription)
M. David Taupiac,Occitanie,Gers,david.taupiac@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Gers (2e circonscription)
M. Denis Fégné,Occitanie,Hautes-Pyrénées,denis.fegne@assemblee-nationale.fr,Socialistes et apparentés,Hautes-Pyrénées (2e circonscription)
M. François Piquemal,Occitanie,Haute-Garonne,francois.piquemal@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Garonne (4e circonscription)
M. Frédéric Falcon,Occitanie,Aude,frederic.falcon@assemblee-nationale.fr,Rassemblement National,Aude (2e circonscription)
M. Hadrien Clouet,Occitanie,Haute-Garonne,hadrien.clouet@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Garonne (1re circonscription)
M. Jacques Oberti,Occitanie,Haute-Garonne,jacques.oberti@assemblee-nationale.fr,Socialistes et apparentés,Haute-Garonne (10e circonscription)
M. Jean Terlier,Occitanie,Tarn,Jean.Terlier@assemblee-nationale.fr,Ensemble pour la République,Tarn (3e circonscription)
M. Jean-François Portarrieu,Occitanie,Haute-Garonne,Jean-Francois.Portarrieu@assemblee-nationale.fr,Horizons & Indépendants,Haute-Garonne (5e circonscription)
M. Jean-François Rousset,Occitanie,Aveyron,jean-francois.rousset@assemblee-nationale.fr,Ensemble pour la République,Aveyron (3e circonscription)
M. Jean-Louis Roumégas,Occitanie,Hérault,jean-louis.roumegas@assemblee-nationale.fr,Écologiste et Social,Hérault (1re circonscription)
M. Jean-René Cazeneuve,Occitanie,Gers,Jean-Rene.Cazeneuve@assemblee-nationale.fr,Ensemble pour la République,Gers (1re circonscription)
M. Joël Aviragnet,Occitanie,Haute-Garonne,Joel.Aviragnet@assemblee-nationale.fr,Socialistes et apparentés,Haute-Garonne (8e circonscription)
M. Julien Gabarron,Occitanie,Hérault,julien.gabarron@assemblee-nationale.fr,Rassemblement National,Hérault (6e circonscription)
M. Julien Rancoule,Occitanie,Aude,julien.rancoule@assemblee-nationale.fr,Rassemblement National,Aude (3e circonscription)
M. Laurent Alexandre,Occitanie,Aveyron,laurent.alexandre@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Aveyron (2e circonscription)
M. Nicolas Meizonnet,Occitanie,Gard,nicolas.meizonnet@assemblee-nationale.fr,Rassemblement National,Gard (2e circonscription)
M. Philippe Bonnecarrère,Occitanie,Tarn,philippe.bonnecarrere@assemblee-nationale.fr,Non inscrit,Tarn (1re circonscription)
M. Pierre Meurin,Occitanie,Gard,pierre.meurin@assemblee-nationale.fr,Rassemblement National,Gard (4e circonscription)
M. Pierre-Henri Carbonnel,Occitanie,Tarn-et-Garonne,pierre-henri.carbonnel@assemblee-nationale.fr,Union des droites pour la République,Tarn-et-Garonne (1re circonscription)
M. Sylvain Carrière,Occitanie,Hérault,sylvain.carriere@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Hérault (8e circonscription)
M. Yoann Gillet,Occitanie,Gard,yoann.gillet@assemblee-nationale.fr,Rassemblement National,Gard (1re circonscription)
M. Édouard Jordan,Occitanie,Aude,edouard.jordan@assemblee-nationale.fr,Rassemblement National,Aude (1re circonscription)
Mme Anaïs Sabatini,Occitanie,Pyrénées-Orientales,anais.sabatini@assemblee-nationale.fr,Rassemblement National,Pyrénées-Orientales (2e circonscription)
Mme Anne Stambach-Terrenoir,Occitanie,Haute-Garonne,anne.stambach-terrenoir@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Haute-Garonne (2e circonscription)
Mme Audrey Abadie-Amiel,Occitanie,Ariège,audrey.abadie@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Ariège (2e circonscription)
Mme Catherine Dellong Meng,Occitanie,Gard,catherine.dellongmeng@assemblee-nationale.fr,Rassemblement National,Gard (3e circonscription)
Mme Christine Arrighi,Occitanie,Haute-Garonne,christine.arrighi@assemblee-nationale.fr,Écologiste et Social,Haute-Garonne (9e circonscription)
Mme Corinne Vignon,Occitanie,Haute-Garonne,Corinne.Vignon@assemblee-nationale.fr,Ensemble pour la République,Haute-Garonne (3e circonscription)
Mme Fanny Dombre Coste,Occitanie,Hérault,fanny.dombrecoste@assemblee-nationale.fr,Socialistes et apparentés,Hérault (3e circonscription)
Mme Karen Erodi,Occitanie,Tarn,karen.erodi@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Tarn (2e circonscription)
Mme Manon Bouquin,Occitanie,Hérault,manon.bouquin@assemblee-nationale.fr,Rassemblement National,Hérault (4e circonscription)
Mme Marine Hamelet,Occitanie,Tarn-et-Garonne,marine.hamelet@assemblee-nationale.fr,Rassemblement National,Tarn-et-Garonne (2e circonscription)
Mme Martine Froger,Occitanie,Ariège,martine.froger@assemblee-nationale.fr,Socialistes et apparentés,Ariège (1re circonscription)
Mme Michèle Martinez,Occitanie,Pyrénées-Orientales,michele.martinez@assemblee-nationale.fr,Rassemblement National,Pyrénées-Orientales (4e circonscription)
Mme Nathalie Oziol,Occitanie,Hérault,nathalie.oziol@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Hérault (2e circonscription)
Mme Pauline Cestrières,Occitanie,Aveyron,pauline.cestrieres@assemblee-nationale.fr,Ensemble pour la République,Aveyron (1re circonscription)
Mme Sandrine Dogor-Such,Occitanie,Pyrénées-Orientales,sandrine.dogor-such@assemblee-nationale.fr,Rassemblement National,Pyrénées-Orientales (3e circonscription)
Mme Sophie Blanc,Occitanie,Pyrénées-Orientales,sophie.blanc@assemblee-nationale.fr,Rassemblement National,Pyrénées-Orientales (1re circonscription)
Mme Sophie Pantel,Occitanie,Lozère,sophie.pantel@assemblee-nationale.fr,Socialistes et apparentés,Lozère (1re circonscription)
Mme Stéphanie Galzy,Occitanie,Hérault,stephanie.galzy@assemblee-nationale.fr,Rassemblement National,Hérault (5e circonscription)
Mme Sylvie Ferrer,Occitanie,Hautes-Pyrénées,sylvie.ferrer@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Hautes-Pyrénées (1re circonscription)
Mme Sylvie Josserand,Occitanie,Gard,sylvie.josserand@assemblee-nationale.fr,Rassemblement National,Gard (6e circonscription)
M. Andy Kerbrat,Pays de la Loire,Loire-Atlantique,andy.kerbrat@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Loire-Atlantique (2e circonscription)
M. Denis Masséglia,Pays de la Loire,Maine-et-Loire,Denis.Masseglia@assemblee-nationale.fr,Ensemble pour la République,Maine-et-Loire (5e circonscription)
M. Dominique Paillat,Pays de la Loire,Vendée,dominique.paillat@assemblee-nationale.fr,Horizons & Indépendants,Vendée (2e circonscription)
M. Fabrice Roussel,Pays de la Loire,Loire-Atlantique,fabrice.roussel@assemblee-nationale.fr,Socialistes et apparentés,Loire-Atlantique (5e circonscription)
M. François Gernigon,Pays de la Loire,Maine-et-Loire,francois.gernigon@assemblee-nationale.fr,Horizons & Indépendants,Maine-et-Loire (1re circonscription)
M. Guillaume Garot,Pays de la Loire,Mayenne,Guillaume.Garot@assemblee-nationale.fr,Socialistes et apparentés,Mayenne (1re circonscription)
M. Jean-Carles Grelier,Pays de la Loire,Sarthe,Jean-Carles.Grelier@assemblee-nationale.fr,Les Démocrates,Sarthe (5e circonscription)
M. Jean-Claude Raux,Pays de la Loire,Loire-Atlantique,jean-claude.raux@assemblee-nationale.fr,Écologiste et Social,Loire-Atlantique (6e circonscription)
M. Jean-Michel Brard,Pays de la Loire,Loire-Atlantique,jean-michel.brard@assemblee-nationale.fr,Horizons & Indépendants,Loire-Atlantique (9e circonscription)
M. Karim Benbrahim,Pays de la Loire,Loire-Atlantique,karim.benbrahim@assemblee-nationale.fr,Socialistes et apparentés,Loire-Atlantique (1re circonscription)
M. Matthias Tavel,Pays de la Loire,Loire-Atlantique,matthias.tavel@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Loire-Atlantique (8e circonscription)
M. Philippe Latombe,Pays de la Loire,Vendée,Philippe.Latombe@assemblee-nationale.fr,Les Démocrates,Vendée (1re circonscription)
M. Pierre Henriet,Pays de la Loire,Vendée,Pierre.Henriet@assemblee-nationale.fr,Horizons & Indépendants,Vendée (5e circonscription)
M. Stéphane Buchou,Pays de la Loire,Vendée,Stephane.Buchou@assemblee-nationale.fr,Ensemble pour la République,Vendée (3e circonscription)
M. Yannick Favennec-Bécot,Pays de la Loire,Mayenne,Yannick.Favennec@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Mayenne (3e circonscription)
M. Éric Martineau,Pays de la Loire,Sarthe,eric.martineau@assemblee-nationale.fr,Les Démocrates,Sarthe (3e circonscription)
Mme Anne-Laure Blin,Pays de la Loire,Maine-et-Loire,anne-laure.blin@assemblee-nationale.fr,Droite Républicaine,Maine-et-Loire (3e circonscription)
Mme Géraldine Bannier,Pays de la Loire,Mayenne,Geraldine.Bannier@assemblee-nationale.fr,Les Démocrates,Mayenne (2e circonscription)
Mme Julie Delpech,Pays de la Loire,Sarthe,julie.delpech@assemblee-nationale.fr,Ensemble pour la République,Sarthe (1re circonscription)
Mme Julie Laernoes,Pays de la Loire,Loire-Atlantique,julie.laernoes@assemblee-nationale.fr,Écologiste et Social,Loire-Atlantique (4e circonscription)
Mme Laetitia Saint-Paul,Pays de la Loire,Maine-et-Loire,Laetitia.Saint-Paul@assemblee-nationale.fr,Horizons & Indépendants,Maine-et-Loire (4e circonscription)
Mme Marietta Karamanli,Pays de la Loire,Sarthe,Marietta.Karamanli@assemblee-nationale.fr,Socialistes et apparentés,Sarthe (2e circonscription)
Mme Nicole Dubré-Chirat,Pays de la Loire,Maine-et-Loire,Nicole.Dubre-Chirat@assemblee-nationale.fr,Ensemble pour la République,Maine-et-Loire (6e circonscription)
Mme Patricia Maussion,Pays de la Loire,Maine-et-Loire,patricia.maussion@assemblee-nationale.fr,Les Démocrates,Maine-et-Loire (7e circonscription)
Mme Sandrine Josso,Pays de la Loire,Loire-Atlantique,Sandrine.Josso@assemblee-nationale.fr,Les Démocrates,Loire-Atlantique (7e circonscription)
Mme Sophie Errante,Pays de la Loire,Loire-Atlantique,Sophie.Errante@assemblee-nationale.fr,Non inscrit,Loire-Atlantique (10e circonscription)
Mme Stella Dupont,Pays de la Loire,Maine-et-Loire,Stella.Dupont@assemblee-nationale.fr,Non inscrit,Maine-et-Loire (2e circonscription)
Mme Ségolène Amiot,Pays de la Loire,Loire-Atlantique,segolene.amiot@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Loire-Atlantique (3e circonscription)
Mme Véronique Besse,Pays de la Loire,Vendée,veronique.besse@assemblee-nationale.fr,Non inscrit,Vendée (4e circonscription)
Mme Élise Leboucher,Pays de la Loire,Sarthe,elise.leboucher@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Sarthe (4e circonscription)
M. Moerani Frébault,Polynésie française,Polynésie Française,moerani.frebault@assemblee-nationale.fr,Ensemble pour la République,Polynésie Française (1re circonscription)
Mme Mereana Reid Arbelot,Polynésie française,Polynésie Française,mereana.reidarbelot@assemblee-nationale.fr,Gauche Démocrate et Républicaine,Polynésie Française (3e circonscription)
Mme Nicole Sanquer,Polynésie française,Polynésie Française,nicole.sanquer@assemblee-nationale.fr,"Libertés, Indépendants, Outre-mer et Territoires",Polynésie Française (2e circonscription)
M. Bernard Chaix,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,bernard.chaix@assemblee-nationale.fr,Union des droites pour la République,Alpes-Maritimes (3e circonscription)
M. Christian Girard,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,christian.girard@assemblee-nationale.fr,Rassemblement National,Alpes-de-Haute-Provence (1re circonscription)
M. Cyril Tribuiani,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,cyril.tribuiani@assemblee-nationale.fr,Rassemblement National,Alpes-Maritimes (6e circonscription)
M. Emmanuel Fouquart,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,emmanuel.fouquart@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (13e circonscription)
M. Emmanuel Taché,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,emmanuel.tache@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (16e circonscription)
M. Franck Allisio,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,franck.allisio@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (12e circonscription)
M. Frank Giletti,Provence-Alpes-Côte d'Azur,Var,frank.giletti@assemblee-nationale.fr,Rassemblement National,Var (6e circonscription)
M. Frédéric Boccaletti,Provence-Alpes-Côte d'Azur,Var,frederic.boccaletti@assemblee-nationale.fr,Rassemblement National,Var (7e circonscription)
M. Gabriel Tomatis,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,gabriel.tomatis@assemblee-nationale.fr,Rassemblement National,Alpes-Maritimes (4e circonscription)
M. Gérault Verny,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,gerault.verny@assemblee-nationale.fr,Union des droites pour la République,Bouches-du-Rhône (14e circonscription)
M. Hendrik Davi,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,hendrik.davi@assemblee-nationale.fr,Écologiste et Social,Bouches-du-Rhône (5e circonscription)
M. Hervé de Lépinau,Provence-Alpes-Côte d'Azur,Vaucluse,herve.delepinau@assemblee-nationale.fr,Rassemblement National,Vaucluse (3e circonscription)
M. José Gonzalez,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,jose.gonzalez@assemblee-nationale.fr,Rassemblement National,Bouches-du-Rhône (10e circonscription)
M. Laurent Lhardit,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,laurent.lhardit@assemblee-nationale.fr,Socialistes et apparentés,Bouches-du-Rhône (2e circonscription)
M. Lionel Tivoli,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,lionel.tivoli@assemblee-nationale.fr,Rassemblement National,Alpes-Maritimes (2e circonscription)
M. Manuel Bompard,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,manuel.bompard@assemblee-nationale.fr,La France insoumise - Nouveau Front Populaire,Bouches-du-Rhône (4e circonscription)
M. Marc Pena,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,marc.pena@assemblee-nationale.fr,Socialistes et apparentés,Bouches-du-Rhône (11e circonscription)
